fine_label utterance	
GHOST:ghost	Este documento contém correspondência por e-mail entre William Heydens da Monsanto e Douglas Bryant da Cantox sobre a seção genotox do manuscrito do glifosato e inclui um rascunho anexo (MONGLY00904754-MONGLY00904771) com extensos comentários de Heydens sobre o rascunho.
GHOST:ghost	Este documento contém correspondência por e-mail entre William Heydens e Larry Kier sobre os “comentários da seção genotox do glifosato”, onde o Dr. Kier expressa preocupação em relação a uma publicação iniciada pela Monsanto: “a mistura de formulações e glifosato é bastante confusa e estranha”.
GHOST:ghost	Este documento contém correspondência por e-mail entre os funcionários da Monsanto, William Heydens, e outros, sobre a Reunião do Conselho de Divulgação Científica, onde Heydens escreveu: “Especialistas científicos externos que são influentes na condução da ciência, reguladores, opinião pública, etc.
GHOST:ghost	E-mail e anexo pelo qual o Dr. Heydens faz alterações e edições no artigo do Williams genotox.
GHOST:ghost	Este documento contém correspondência por e-mail entre William Heydens e Douglas da Monsanto [REDIGIDO] sobre o manuscrito do glifosato.
GHOST:ghost	Discussão interna sobre Williams e o processo de edição final. William Heydens anexa uma parte do rascunho.
GHOST:ghost	MONGLY01869261 é um e-mail em que o Dr. Heydens admite ter crescido cabelos grisalhos durante a escrita de Williams, Kroes e Munro.
GHOST:ghost	Este documento contém correspondência por e-mail entre William Heydens e Donna Farmer sobre Williams et al (2000), onde o Dr. Heydens envia ao Dr.
GHOST:ghost	John Acquavella Rough First Draft Proposta da NHL para ECPA em que Acquavella avalia criticamente Hardell et al. Publicação de 1999
GHOST:ghost	E-mail de William Heydens no qual o Dr. Heydens escreve aos colegas da Monsanto sobre a mudança de periódico para publicação do artigo de Williams et al (2000).
GHOST:ghost	Este documento contém correspondência por e-mail entre o CEO da Monsanto, Hugh Grant, e vários funcionários da Monsanto sobre a publicação bem-sucedida da revisão escrita por fantasmas, “Avaliação de Segurança e Avaliação de Risco do Resumo de Herbicidas e Seu Ingrediente Ativo Glifosato” nos nomes de Williams, Kroes e Munro, 2000.
GHOST:ghost	Comunicações por e-mail nas quais os funcionários da Monsanto, Donna Farmer e Bill Heydens, são parabenizados pela alta administração por suas contribuições à publicação de Williams et al (2000).
GHOST:ghost	MONGLY02645629 é uma troca de e-mail 8-23-00 entre Donna Farmer, Clara Rubenstein e John Acquavella sobre o acompanhamento do estudo Hardell, uma crítica de quatro vertentes sobre a descoberta de uma ligação entre o Roundup e a NHL. MONGLY02645630- MONGLY02645653 contém a crítica do Dr. Acquavella e Donna Farmer ao estudo de Hardell (1999) e revisões associadas do Dr. O documento também inclui a carta da Monsanto ao editor da revista que publicou o estudo de Hardell.
GHOST:ghost	Este documento contém correspondência por e-mail entre os funcionários da Monsanto, Katherine Carr e Thomas Hoogheem, sobre “camisas Roundup”. Os funcionários da Monsanto discutem dar “camisas pólo Roundup” a indivíduos que trabalharam na publicação Williams et al “como um sinal de agradecimento por um trabalho bem executado... embora eu veja muitas pessoas com camisas com logotipo”.
GHOST:ghost	Este documento contém um rascunho do manuscrito, “Glyphosate Stewardship, Epidemiology, and the Farm Family Exposure Study”, membros da equipe, John Acquavella, Marian Bleeke, Donna Farmer, Daniel Goldstein e Christophe Gustin.
GHOST:ghost	MONGLY00893767 é uma correspondência por e-mail entre os funcionários da Monsanto, Donna Farmer, Martin Lemon, e Susan Monheit da CDFA sobre: ​​Resumo da toxicidade do glifosato. Donna Farmer diz: “Durante uma edição, eu basicamente reescrevi a coisa…” O e-mail inclui um rascunho do manuscrito anexado (MONGLY00893768- MONGLY00893778) “Revisão dos Herbicidas Aquáticos Aquamaster e Rodeo” onde Farmer forneceu edições.
GHOST:ghost	Pamela Mink envia um rascunho de seu artigo para Donna Farmer para revisão e comentários
GHOST:ghost	MONGLY01185706-MONGLY01185744 é um e-mail que inclui as edições de Donna Farmer em papel Mink & Mandel. MONGLY01185784 é um e-mail entre Donna Farmer, Daniel Goldstein e outros no qual Farmer e Goldstein compartilham comentários e edições no artigo Mink & Mandel. MONGLY01185785-MONGLY01185822 são as edições de Daniel Goldstein no artigo Mink & Mandel. MONGLY01185825 é outro e-mail discutindo edições no artigo Mink & Mandel.
GHOST:ghost	Este documento é um e-mail do Dr. Charles Healy para os Drs. Farmer e Saltmiras onde o Dr. Healy solicita que os Drs. Farmer e Saltmiras revisam o artigo que o Dr. Healy foi solicitado a revisar: “vocês dois seriam os revisores de fato e eu então reuniria seus comentários e seria o revisor oficial”. em *1.
GHOST:ghost	Este documento é um e-mail do Dr. Charles Healy para os Drs. Donna Farmer e David Saltmiras onde o Dr. Healy informa aos Drs. Farmer e Saltmiras que sua decisão em relação ao estudo enviada ao Dr. Healy para revisão por pares determinará se o estudo será publicado.
GHOST:ghost	Este documento é uma revisão por pares realizada pelo funcionário da Monsanto, Dr. Charles Healy, de um estudo intitulado “Citotoxicidade do herbicida Roundup e seu ingrediente ativo, o glifosato em ratos”. O documento contém recomendações para rejeitar o estudo onde foram encontrados efeitos citotóxicos adversos substanciais associados ao Roundup e ao glifosato.
GHOST:ghost	Este documento contém correspondência por e-mail entre funcionários da Monsanto, Daniel Goldstein, Richard Garnett, Donna Farmer e os consultores Darren Roberts, Nick Buckley e outros sobre o Draft Glyphosate Paper, no qual Goldstein fornece revisões dele e de outros funcionários da Monsanto sobre o rascunho do manuscrito.
GHOST:ghost	MONGLY01013201 contém correspondência por e-mail entre os funcionários da Monsanto David Saltmiras, Charles Healy, William Heydens, Donna Farmer, Steven Levine sobre o Manuscrito CBT0775 para revisão por pares de um estudo mostrando que o glifosato causa danos à pele mesmo sendo funcionários da Monsanto com conflito de interesses; inclui anexo (MONGLY01013205-MONGLY01013222), Biologia Celular e Toxicologia, Manuscrito Número CBT0775 Danos morfológicos de queratinócitos tratados com glifosato in vitro revelados por uma investigação microscópica combinada. Healy escreve: “David, por favor, coordene os comentários neste artigo e eu os enviarei em meu nome, pois foi assim que a revista o organizou.” uma revisão por pares escrita por fantasmas, outra violação das diretrizes de revisão por pares.
GHOST:ghost	MONGLY02097271 é uma troca de e-mail entre Joel Kronenberg, David Saltmiras e Sean Gehen discutindo um rascunho editado de carta CLA sobre pesquisa do setor. MONGLY02097276-MONGLY02097278 é a carta editada.
GHOST:ghost	Este documento é um e-mail da Dra. Donna Farmer, onde ela informa a John DeSesso que "adicionou uma seção sobre genotox do estudo de Gasnier... veja em anexo uma crítica que fizemos e de onde tirei. Estou trabalhando em uma seção para gasiner na seção mecanística. Também recortamos e colamos resumos dos estudos de surfactante POEA." em *1. O anexo é um rascunho do Williams et. al. estudo com edições significativas do Dr. Farmer.
GHOST:ghost	Em MONGLY02406325, Donna Farmer edita e envia um rascunho do manuscrito do Exponent para Amy Williams. Williams pede esclarecimentos a David Saltmiras sobre uma seção que ele adicionou: “David... você adicionou esta seção, por favor responda.”
GHOST:ghost	Correspondência interna por e-mail em que David Saltmiras reconhece que Donna Farmer iniciou o manuscrito de Mandel.
