fine_label utterance	
GHOST:ghost	Este documento é um e-mail do Dr. Charles Healy para os Drs. Farmer e Saltmiras onde o Dr. Healy solicita que os Drs. Farmer e Saltmiras revisam o artigo que o Dr. Healy foi solicitado a revisar: “vocês dois seriam os revisores de fato e eu então reuniria seus comentários e seria o revisor oficial”. em *1.
GHOST:ghost	Este documento é um e-mail do Dr. Charles Healy para os Drs. Donna Farmer e David Saltmiras onde o Dr. Healy informa aos Drs. Farmer e Saltmiras que sua decisão em relação ao estudo enviada ao Dr. Healy para GHOST:peer_review determinará se o estudo será publicado.
GHOST:ghost	Este documento é uma revisão por pares realizada pelo funcionário da Monsanto, Dr. Charles Healy, de um estudo intitulado “Citotoxicidade do herbicida Roundup e seu ingrediente ativo, o glifosato em ratos”. O documento contém recomendações para rejeitar o estudo onde foram encontrados efeitos citotóxicos adversos substanciais associados ao Roundup e ao glifosato.
GHOST:ghost	Este documento é um e-mail da Dra. Donna Farmer, onde ela informa a John DeSesso que "adicionou uma seção sobre genotox do estudo de Gasnier... veja em anexo uma crítica que fizemos e de onde tirei. Estou trabalhando em uma seção para gasiner na seção mecanística. Também recortamos e colamos resumos dos estudos de surfactante POEA." em *1. O anexo é um rascunho do Williams et. al. estudo com edições significativas do Dr. Farmer, que também é desafiado pela confidencialidade
GHOST:ghost	Nestes documentos, o cientista da Monsanto David Saltmiras admite ter escrito manuscritos de literatura sobre genotoxicidade do glifosato com Larry Kier, um consultor da Monsanto (MONGLY02145925). A correspondência por e-mail também detalha como adicionar o cientista David Kirkland ao estudo “acrescentaria credibilidade”. (MONGLY02145918) “Adicionar David Kirkland como coautor de ambos os artigos de revisão acrescentaria £ 14.000 (libras Stirling) ao projeto, que dividido por 25 parece um investimento justo”, escreve Christophe Gustin (Monsanto UE) em uma discussão sobre possíveis coautores para a literatura sobre genotoxicidade do glifosato. “tem um prêmio”: “David Kirkland acredita que seus esforços serão inferiores a 10 dias a £ 1.400/dia (equivalente a US$ 21.780 com a taxa de câmbio atual), então estamos efetivamente dobrando o custo dos projetos combinados, mas colhendo valor/credibilidade significativos do envolvimento de David Kirkland. Dado o número crescente de publicações questionáveis ​​sobre genotoxicidade, na minha opinião, isso vale o custo adicional.”
GHOST:ghost	Este documento é um e-mail do Dr. Heydens onde o Dr. Saltmiras “Entre em contato com Wallace Hayes para determinar sua disponibilidade e taxas para participar da reunião.”
GHOST:ghost	Este documento é um acordo de consultoria de 2012 entre a Monsanto e o editor da Food and Chemical Toxicology, Wallace Hayes, para o período imediatamente anterior ao envolvimento do Sr. Hayes na retratação do artigo Seralini da Food and Chemical Toxicology.
GHOST:ghost	Este documento contém uma correspondência por e-mail entre vários funcionários da Monsanto, onde o Dr. Estratégia? Eu também suspeito que este artigo pode ser do nosso interesse – os últimos ritos para os poucos fragmentos restantes de credibilidade científica de Seralini.” em *2.
GHOST:ghost	Este documento contém correspondência por e-mail entre Bruce Chassy e o Editor de Food and Chemical Toxicology, Wallace Hayes, onde o Dr. Chassy insta o Sr. em *2.
GHOST:ghost	Este documento contém uma série de trocas de e-mails entre vários funcionários da Monsanto a respeito de cartas ao editor da Food and Chemical Toxicology solicitando a retratação de um estudo do Professor G.E. Seralini. Eric Sachs escreve sobre seus esforços para galvanizar os cientistas em uma campanha de cartas para retratar o artigo: "Falei com Bruce Chassy e ele enviará sua carta diretamente para Wally Hayes e notificará outros cientistas que enviaram cartas para fazer o mesmo. Ele entende a urgência... Continuo inflexível de que a Monsanto deve: não ser colocada: na posição de fornecer a análise crítica que leva os editores a retratar o artigo." em *3, 2; veja tambémMONGLY01045298 (abaixo).
TOXIC:toxic	Este documento contém um estudo liderado pela Monsanto testando o N-ntirosoglifosato (“NNG”) em ratos. Antes de obter aprovação da EPA, a Monsanto conduziu este teste de carcinogenicidade de longo prazo do NNG em ratos. Os testes foram realizados fora dos laboratórios do IBT (que a Monsanto utilizou para testes de NNG até ser encerrado devido a fraude). Este estudo demonstrou um aumento estatisticamente significativo de linfomas malignos em camundongos machos. Nenhuma evidência sugere que este estudo tenha sido submetido à EPA.
